abs time (s)	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay
	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m
0.076042	-1.125696	1.957731	0.969269	-0.160774	-0.081530	0.247788	0.084115	-0.165871	-3.860282	-0.808524	-2.214823	0.052452	-0.181678	-0.494250	0.000000	0.000000	0.162425	3.343020	-0.661669	0.001528	-0.138870	-0.544835	0.000000	0.000000
0.077083	-0.896814	1.728849	-0.556610	-0.071815	0.190534	0.213455	0.000000	0.000000	-3.631400	-0.846671	-1.813275	0.456403	-0.215444	-0.523242	0.000000	0.000000	-0.028310	3.495607	-0.661669	-0.008085	0.041856	-0.561619	0.000000	0.000000
0.078125	-1.201990	1.805143	-0.556610	0.094353	-0.029803	0.268768	0.000000	0.000000	-3.707694	-0.770377	-3.017917	0.371287	-0.075693	-0.495776	0.000000	0.000000	0.047984	3.419314	-3.472498	0.077031	-0.001523	-0.570775	0.000000	0.000000
0.079167	-1.278284	1.957731	0.053741	-0.412544	0.182142	0.221085	-3.389232	-7.676467	-3.783988	-0.846671	-3.419464	0.456403	-0.032314	-0.504932	0.000000	0.000000	-0.028310	3.457461	1.747614	0.154937	-0.150886	-0.584508	0.086338	0.088656
0.080208	-1.049402	1.881437	0.358917	0.344445	-0.079851	0.255417	0.222479	0.959677	-3.669547	-0.961112	-3.017917	0.222684	-0.169661	-0.547656	0.000000	0.000000	-0.180898	3.343020	0.141426	-0.159091	0.224986	-0.546361	-1.590843	-1.124911
0.081250	-0.973108	1.652556	0.053741	-0.405830	0.295667	0.221085	-5.501668	-7.551533	-3.783988	-0.808524	-2.616370	-0.349095	-0.514171	-0.524768	0.000000	0.000000	0.047984	3.571901	-1.866310	-0.093201	0.094848	-0.586033	0.000000	0.000000
0.082292	-1.125696	1.957731	0.969269	0.007073	-0.081530	0.305008	0.084115	0.007297	-3.707694	-0.884818	-2.616370	0.137568	-0.220250	-0.530872	0.000000	0.000000	0.009837	3.571901	-1.866310	-0.253820	0.092445	-0.523472	0.000000	0.000000
0.083333	-1.201990	1.957731	-1.166962	-0.580391	-0.457049	0.268768	0.000000	0.000000	-3.898429	-0.808524	-1.813275	-0.027857	-0.135895	-0.523242	0.000000	0.000000	0.009837	3.457461	-1.063216	0.074627	0.092445	-0.576878	0.000000	0.000000
0.084375	-1.125696	1.881437	0.358917	-0.159095	0.132093	0.234436	-0.368032	-0.443265	-3.936576	-0.961112	-1.010181	0.302994	-0.427412	-0.509509	0.000000	0.000000	-0.028310	3.457461	-1.063216	-0.085991	0.186413	-0.560093	0.000000	0.000000
0.085417	-1.354577	1.728849	0.664093	-0.407509	0.180464	0.228714	-0.271744	-0.613632	-3.593253	-0.922965	-1.411728	-0.261576	-0.261226	-0.527820	0.000000	0.000000	-0.028310	3.304873	-2.267857	-0.156688	-0.150886	-0.508214	0.000000	0.000000
0.086458	-1.354577	1.881437	0.969269	0.008751	-0.513811	0.324082	0.530102	0.009029	-3.936576	-0.884818	-1.813275	0.137568	-0.331041	-0.533923	0.000000	0.000000	0.047984	3.457461	0.542973	0.235246	0.094848	-0.517369	-0.174684	0.433256
0.087500	-1.278284	1.805143	1.884796	-0.241340	0.075330	0.221085	-0.039967	-0.128046	-3.822135	-0.770377	-1.010181	-0.190879	-0.131089	-0.527820	0.000000	0.000000	-0.066457	3.457461	-0.661669	0.315556	-0.056918	-0.531102	0.000000	0.000000
